CRN,first,last,company_name,employed_since,EDUCATION,no_of_connections,social_sentiment
5950537517,Daisy,Garrett,Daniel-Kris,2017,2,678,-1
1741166811,Gilbert,Guerrero,Barton and Sons,2015,2,938,1
9939130978,Samuel,Ruiz,MacGyver-Lind,2015,2,224,1
9821645543,Ruth,Matthews,Schowalter Inc,2016,2,132,1
5702046031,Clara,Green,Littel-Gleason,2012,2,566,1
8904701381,Gilbert,Pittman,Conroy Inc,2014,1,137,0
9313248666,Vernon,Holloway,Gerhold Inc,2013,1,503,-1
1610606281,Genevieve,George,"Beier, Auer and Price",2016,2,671,1
2767247226,Ellen,Morrison,Greenholt LLC,2012,3,168,-1
5352137699,Victoria,Drake,Dicki-Hermann,2013,3,890,1
8289677989,Gordon,Griffin,"Konopelski, Herzog and Fay",2011,3,784,1
702172254,Anne,Bowers,Conroy-Swift,2013,1,231,-1
2144471398,Elizabeth,Lawrence,Pollich-Rosenbaum,2013,2,537,-1
7361936022,Bettie,Baker,"Hickle, Leffler and Satterfield",2016,2,913,1
5315491323,Nannie,Fox,Kessler Inc,2011,1,330,1
1715718678,Lura,Baker,"Terry, Hilpert and Bogisich",2013,3,112,1
7081235366,Brandon,Singleton,"Hayes, Bernhard and Kutch",2012,1,879,1
3437821316,Ricky,Harvey,"Ortiz, Jacobs and Mertz",2017,1,405,1
3680693038,Luke,Farmer,Kunze Inc,2017,1,856,-1
4718022486,Curtis,Elliott,"Moore, King and Okuneva",2016,1,493,1
65205298,Daniel,Rhodes,"Lynch, Schultz and White",2015,3,830,-1
9095278489,Mae,Freeman,Becker-Reichel,2014,2,680,0
2987208723,Darrell,Meyer,"Olson, Harvey and Schaefer",2014,2,131,1
968761852,Lora,Stevenson,Effertz Group,2014,1,434,-1
6756339884,Craig,Hill,Marvin-Murphy,2011,1,712,1
3064329803,Rachel,Wilson,Daniel-Marks,2014,3,920,1
250588773,Luis,Pearson,Simonis-Dietrich,2012,1,56,1
6304990478,Alvin,Doyle,Luettgen LLC,2012,3,960,1
4510454917,Marcus,Alvarado,Gusikowski and Sons,2014,3,488,1
5609114924,Irene,Hopkins,"Altenwerth, Schimmel and Mitchell",2017,1,361,1
9932305021,Elsie,Parker,Reilly-Donnelly,2015,1,176,-1
68722425,Seth,Webster,"Brakus, Runolfsdottir and Wuckert",2014,2,136,-1
9013808415,Elijah,Bennett,Stoltenberg and Sons,2017,1,160,-1
3907891365,Derrick,Nash,Larson-Runolfsdottir,2013,2,310,0
2409138896,Ruth,Howell,Nienow LLC,2015,1,785,1
4185653554,Juan,Alvarez,"Collier, Barrows and Connelly",2011,1,644,1
8555834970,Raymond,Bates,Kuhn-Zieme,2012,2,441,1
3299977229,Miguel,Evans,Smitham-Robel,2015,2,183,1
3928634404,Gertrude,Barrett,Hartmann LLC,2011,1,505,1
2239929708,Jacob,Elliott,Ryan and Sons,2013,1,457,1
2231007056,Clayton,Gibson,Mueller LLC,2011,1,970,1
9518886378,Leon,Fleming,Gaylord Inc,2017,1,304,1
8939397197,Lela,Chandler,Barrows-Daniel,2015,2,405,1
3015479599,Jerome,Waters,O'Reilly LLC,2013,2,507,-1
8095051022,Cynthia,Vargas,Frami-Jacobi,2015,1,93,1
7111486897,Linnie,Schwartz,"Reinger, Bailey and Luettgen",2011,1,117,0
7986809464,Leon,Fowler,Ziemann-Medhurst,2012,1,852,1
4485754815,Curtis,Aguilar,Adams LLC,2017,5,583,1
2130227212,Eugenia,Meyer,Volkman-Carter,2014,2,759,0
3347356240,Isabella,Newman,Bernier-Rath,2014,1,255,1
2755243446,Amanda,Byrd,"Heathcote, Klein and Nicolas",2017,3,399,1
7205605552,Edith,Steele,Grant LLC,2015,3,791,1
8056556336,Bess,Williamson,Pfeffer-Mertz,2011,2,510,0
6722255829,Ella,McCarthy,Daniel Inc,2015,1,19,1
3443775802,Troy,Miles,"Ebert, Kulas and Nitzsche",2017,1,352,1
9225921788,Gilbert,Sharp,Daugherty and Sons,2016,1,80,1
1006297345,Leroy,Leonard,Osinski Group,2016,3,311,1
2347358048,Edwin,Owens,Watsica-Lakin,2014,2,540,1
7020167337,Tillie,Willis,"Zulauf, Kemmer and Schoen",2016,1,33,0
5425622791,Evan,Wise,Wilkinson Inc,2014,2,659,0
2739976277,Jack,Ramos,Wuckert and Sons,2015,3,53,-1
9242212731,Martin,Henry,Orn LLC,2016,2,943,0
2231918421,Mario,Lamb,"Christiansen, Koss and Wehner",2014,1,974,0
1966620878,Myrtle,Rodgers,"Schulist, Oberbrunner and Rolfson",2012,2,616,1
3715383407,Kevin,Ryan,Abbott-Predovic,2017,2,74,-1
5481669739,Leona,Ryan,Huel and Sons,2016,1,165,-1
1286220394,Justin,Turner,"Connelly, Torphy and Koss",2014,2,529,1
8374525976,Bertha,George,Franecki-Kautzer,2015,1,157,1
1118129403,Theresa,Cobb,"Hammes, Gerhold and Langosh",2012,3,964,-1
5150771892,Lola,Daniels,"Bruen, Cassin and Boyle",2013,5,509,1
2746216140,Dominic,Day,Spinka-Kuvalis,2014,1,751,0
8147744214,Bertie,Jensen,Hermann-West,2015,2,4,1
6244811449,Lina,Houston,Heller-Ebert,2016,2,970,1
9129218830,Harriett,Robertson,Labadie LLC,2017,1,875,1
4679054646,Donald,Lawson,Goyette LLC,2012,1,523,1
3780259458,Jorge,Fields,Walter-McDermott,2017,2,942,0
4741390254,Edith,Barnes,Cummerata LLC,2012,3,867,1
9854387104,Mattie,Moran,"Hermiston, DuBuque and Daugherty",2016,1,324,-1
7840449812,Roger,Reynolds,Mraz-Graham,2012,2,621,1
2862145065,Charlotte,Parker,Homenick LLC,2012,2,904,1
2144386036,Emily,Craig,Altenwerth-Sawayn,2014,3,594,1
6700820457,Pearl,Nunez,Wuckert-Lang,2015,1,302,1
1912075542,Pauline,Griffin,Erdman Group,2013,3,476,1
2564385970,Calvin,Brown,"Brekke, Boehm and Tillman",2017,2,53,1
5402710046,Francis,Buchanan,Rice-Ward,2016,3,697,1
4514523362,Chris,Jacobs,McDermott Group,2017,2,537,0
8131992380,Amanda,Silva,Torphy LLC,2012,1,515,1
1866316213,Clara,Turner,"Rau, Anderson and Macejkovic",2016,2,568,1
6321627811,Hester,Herrera,Dietrich-Williamson,2014,1,805,0
2229146933,Elsie,Lloyd,"DuBuque, Bayer and Lindgren",2017,3,410,0
9651258850,Clyde,Pena,Hayes-Waelchi,2017,1,777,1
4198242725,William,Guzman,"Schuster, Schuster and Borer",2016,1,34,0
